Año,Tipo,Nombre,Clase,Área_ha
2023,PNN,Cueva de los Guácharos,Deforestación,0.0
2023,PNN,Cueva de los Guácharos,Regeneración,0.0
2023,PNN,Cueva de los Guácharos,Degradación,2.61
2023,PNN,Alto Fragua - Indi Wasi,Deforestación,543.6899999999999
2023,PNN,Alto Fragua - Indi Wasi,Regeneración,101.25
2023,PNN,Alto Fragua - Indi Wasi,Degradación,18.72
2023,PNN,La Serranía de Chiribiquete,Deforestación,338.31
2023,PNN,La Serranía de Chiribiquete,Regeneración,206.1
2023,PNN,La Serranía de Chiribiquete,Degradación,600.66
2023,PNN,Cordillera de los Picachos,Deforestación,28.349999999999998
2023,PNN,Cordillera de los Picachos,Regeneración,18.9
2023,PNN,Cordillera de los Picachos,Degradación,22.23
2023,PNN,Serranía de los Churumbelos  - Auka Wasi,Deforestación,0.09
2023,PNN,Serranía de los Churumbelos  - Auka Wasi,Regeneración,0.0
2023,PNN,Serranía de los Churumbelos  - Auka Wasi,Degradación,0.18
2023,PNN,San Lorenzo,Deforestación,0.0
2023,PNN,San Lorenzo,Regeneración,0.63
2023,PNN,San Lorenzo,Degradación,0.0
2023,PNN,El Recreo,Deforestación,0.0
2023,PNN,El Recreo,Regeneración,0.27
2023,PNN,El Recreo,Degradación,0.0
2023,PNN,La Argelia,Deforestación,2.25
2023,PNN,La Argelia,Regeneración,0.18
2023,PNN,La Argelia,Degradación,0.0
2023,PNN,La Palestina,Deforestación,0.99
2023,PNN,La Palestina,Regeneración,0.0
2023,PNN,La Palestina,Degradación,0.0
2023,PNN,La Estrella,Deforestación,0.0
2023,PNN,La Estrella,Regeneración,0.0
2023,PNN,La Estrella,Degradación,0.0
2023,PNN,La Tebaida,Deforestación,0.54
2023,PNN,La Tebaida,Regeneración,0.44999999999999996
2023,PNN,La Tebaida,Degradación,0.0
2023,PNN,El Bosque,Deforestación,1.71
2023,PNN,El Bosque,Regeneración,0.36
2023,PNN,El Bosque,Degradación,0.0
2023,PNN,El Venado,Deforestación,2.07
2023,PNN,El Venado,Regeneración,0.44999999999999996
2023,PNN,El Venado,Degradación,0.0
2023,PNN,Las Mesitas,Deforestación,0.0
2023,PNN,Las Mesitas,Regeneración,1.26
2023,PNN,Las Mesitas,Degradación,0.0
2023,PNN,Villa Milena,Deforestación,0.0
2023,PNN,Villa Milena,Regeneración,0.0
2023,PNN,Villa Milena,Degradación,0.0
2023,PNN,San Nicolás 2,Deforestación,0.0
2023,PNN,San Nicolás 2,Regeneración,0.0
2023,PNN,San Nicolás 2,Degradación,0.0
2023,PNN,Siberia Ceibas,Deforestación,0.0
2023,PNN,Siberia Ceibas,Regeneración,0.0
2023,PNN,Siberia Ceibas,Degradación,0.0
2023,PNN,El Billar,Deforestación,0.0
2023,PNN,El Billar,Regeneración,0.0
2023,PNN,El Billar,Degradación,0.0
2023,PNN,Corredor Biológico Guácharos Puracé,Deforestación,0.0
2023,PNN,Corredor Biológico Guácharos Puracé,Regeneración,0.0
2023,PNN,Corredor Biológico Guácharos Puracé,Degradación,0.0
2023,PNN,Cerro Páramo de Miraflores Rigoberto Urriago,Deforestación,0.0
2023,PNN,Cerro Páramo de Miraflores Rigoberto Urriago,Regeneración,0.0
2023,PNN,Cerro Páramo de Miraflores Rigoberto Urriago,Degradación,0.0
2023,PNN,La Judea,Deforestación,4.2299999999999995
2023,PNN,La Judea,Regeneración,0.63
2023,PNN,La Judea,Degradación,0.0
2023,PNN,El Arrullo,Deforestación,0.27
2023,PNN,El Arrullo,Regeneración,1.08
2023,PNN,El Arrullo,Degradación,0.0
2023,PNN,El Agrado,Deforestación,1.26
2023,PNN,El Agrado,Regeneración,0.09
2023,PNN,El Agrado,Degradación,0.0
2023,PNN,La Esperanza 2,Deforestación,0.27
2023,PNN,La Esperanza 2,Regeneración,3.78
2023,PNN,La Esperanza 2,Degradación,0.0
2023,PNN,Reserva Natural El Arca,Deforestación,0.0
2023,PNN,Reserva Natural El Arca,Regeneración,1.08
2023,PNN,Reserva Natural El Arca,Degradación,0.0
2023,PNN,La Virginia,Deforestación,0.09
2023,PNN,La Virginia,Regeneración,0.0
2023,PNN,La Virginia,Degradación,0.0
2023,PNN,Hacienda Esmeraldas,Deforestación,6.4799999999999995
2023,PNN,Hacienda Esmeraldas,Regeneración,9.0
2023,PNN,Hacienda Esmeraldas,Degradación,0.8099999999999999
2023,PNN,Hacienda Villa Mery,Deforestación,0.0
2023,PNN,Hacienda Villa Mery,Regeneración,17.189999999999998
2023,PNN,Hacienda Villa Mery,Degradación,0.0
2023,PNN,Miraflores Picachos,Deforestación,21.96
2023,PNN,Miraflores Picachos,Regeneración,3.15
2023,PNN,Miraflores Picachos,Degradación,2.16
2023,PNN,Etiopía,Deforestación,0.0
2023,PNN,Etiopía,Regeneración,0.0
2023,PNN,Etiopía,Degradación,0.0
2023,PNN,El Playón y Buenos Aires,Deforestación,0.72
2023,PNN,El Playón y Buenos Aires,Regeneración,0.18
2023,PNN,El Playón y Buenos Aires,Degradación,0.0
2023,PNN,El Sinú,Deforestación,0.0
2023,PNN,El Sinú,Regeneración,0.54
2023,PNN,El Sinú,Degradación,0.0
2023,PNN,El Danubio,Deforestación,1.26
2023,PNN,El Danubio,Regeneración,0.09
2023,PNN,El Danubio,Degradación,0.0
2023,PNN,Los Arboles De Las Mesitas,Deforestación,0.0
2023,PNN,Los Arboles De Las Mesitas,Regeneración,5.31
2023,PNN,Los Arboles De Las Mesitas,Degradación,0.0
2023,PNN,La Independencia,Deforestación,0.0
2023,PNN,La Independencia,Regeneración,0.0
2023,PNN,La Independencia,Degradación,0.0
2023,PNN,San Nicolás,Deforestación,0.09
2023,PNN,San Nicolás,Regeneración,0.44999999999999996
2023,PNN,San Nicolás,Degradación,0.0
2023,PNN,La Vega,Deforestación,0.0
2023,PNN,La Vega,Regeneración,0.0
2023,PNN,La Vega,Degradación,0.09
2023,PNN,Yalconia,Deforestación,0.36
2023,PNN,Yalconia,Regeneración,0.27
2023,PNN,Yalconia,Degradación,0.0
2023,PNN,La Cristalina,Deforestación,0.0
2023,PNN,La Cristalina,Regeneración,0.63
2023,PNN,La Cristalina,Degradación,0.0
2023,PNN,La Volga,Deforestación,0.0
2023,PNN,La Volga,Regeneración,0.36
2023,PNN,La Volga,Degradación,0.09
2023,PNN,La Esperanza,Deforestación,0.27
2023,PNN,La Esperanza,Regeneración,0.54
2023,PNN,La Esperanza,Degradación,0.54
2023,PNN,Bellavista,Deforestación,0.0
2023,PNN,Bellavista,Regeneración,0.09
2023,PNN,Bellavista,Degradación,0.0
2023,PNN,La Samaria,Deforestación,0.09
2023,PNN,La Samaria,Regeneración,0.72
2023,PNN,La Samaria,Degradación,0.0
2023,PNN,Santa Elena,Deforestación,0.0
2023,PNN,Santa Elena,Regeneración,0.09
2023,PNN,Santa Elena,Degradación,0.0
2023,PNN,El Olivo II,Deforestación,0.0
2023,PNN,El Olivo II,Regeneración,1.98
2023,PNN,El Olivo II,Degradación,0.0
2023,PNN,La Esperanza,Deforestación,0.0
2023,PNN,La Esperanza,Regeneración,0.09
2023,PNN,La Esperanza,Degradación,0.0
2023,PNN,Buenos Aires,Deforestación,0.54
2023,PNN,Buenos Aires,Regeneración,0.0
2023,PNN,Buenos Aires,Degradación,0.0
2023,PNN,El Olivo,Deforestación,1.7999999999999998
2023,PNN,El Olivo,Regeneración,2.25
2023,PNN,El Olivo,Degradación,0.0
2023,PNN,Las Mercedes,Deforestación,0.0
2023,PNN,Las Mercedes,Regeneración,0.09
2023,PNN,Las Mercedes,Degradación,0.0
2023,PNN,San Francisco,Deforestación,1.08
2023,PNN,San Francisco,Regeneración,0.27
2023,PNN,San Francisco,Degradación,0.0
2023,PNN,Lorena,Deforestación,0.0
2023,PNN,Lorena,Regeneración,0.0
2023,PNN,Lorena,Degradación,0.0
2023,PNN,Buenos Aires,Deforestación,0.0
2023,PNN,Buenos Aires,Regeneración,1.26
2023,PNN,Buenos Aires,Degradación,0.0
2023,PNN,El Rosal,Deforestación,0.18
2023,PNN,El Rosal,Regeneración,0.0
2023,PNN,El Rosal,Degradación,0.0
